# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	3.5929
1,	6.9347
1,	10.4672
1,	35.4129
1,	41.3308
1,	44.2308
1,	47.1603
1,	60.3338
1,	63.3485
1,	66.2532
1,	68.9564
1,	71.8069
1,	74.8278
1,	77.8007
1,	80.6682
1,	83.6101
1,	86.7225
1,	89.2738
1,	92.1615
1,	95.1204
1,	97.4470
